a    ,alpha ,d    ,theta,rotDir,maxAngle ,minAngle ,AxisVelocity
350,-90,750,0,-1,185,-185,97
1050,0,0,0,1,0,-142,96
-45,90,0,-90,1,148,-120,93
0,-90,-1200,0,1,350,-350,156
0,90,0,0,1,120,-120,171
0,180,-210,180,1,350,-350,241
